,conv_id,context,prompt,speaker_utterance,listener_utterance,empathy,pred,empathy_red
456,hit:8687_conv:17374,anxious,I'm not really sure if I am going to be able to find a gift for my wife's birthday.,I am not really sure if I am going to be able to find a gift for my wife's birthday.,Why not?,2,2,3
458,hit:1312_conv:2625,prepared,I did my homework ahead of time. I knew I would not have enough time on the weekends.,I did my homework ahead of time. I knew I would not have any free time over the busy weekend.,Smart move - it is always a swell idea to get ahead of work so that we can do the things we want to do in life.,3,3,3
461,hit:4121_conv:8243,embarrassed,I was at a pizza joint and my chair leg broke and I fell to the floor. Everyone in the pizza place all was looking at me on the floor. My face was so red and the manager came over and helped me up. ,Now I can laugh_comma_ but when I was on the floor I was not laughing_comma_ I just wanted to leave.,Embarrassing things happen to all of us!,2,2,3
464,hit:1272_conv:2544,lonely,My dad just passed away. Even though I haven't lived near him to be able to see him often in a long time_comma_ I really feel his missed presence. It just feels... strange.,He was only 67. He struggled with a heart condition most of his life. Thanks for the kind words.,Oh wow_comma_ I cannot imagine losing my dad at 67. I hope you make it through these hard times_comma_ stay strong!,3,3,3
466,hit:4067_conv:8135,caring,I cared for my grandfather the last few months of his life.  We both enjoyed the time we spent together,Yeah_comma_ time is the only thing that matters_comma_ and i am glad he left happy,You are a good person. Everyone is not so lucky.,3,3,3
470,hit:6998_conv:13997,anticipating,I am having my first child in a couple of months and I am anxious about it.,I am having my first child and I am anxious about it.,that is awesome i would feel the same way _comma_ i want to be a father one day i am really happy for you,3,3,3
471,hit:7948_conv:15897,ashamed,I just got a new car and was trying to look cool in it the other day! I miss-judged the curb and totally scratched the rims up in front of people. It was quite embarrassing.,I just got a new car and was trying to look cool in it the other day! I miss-judged the curb and totally scratched the rims up in front of people. It was quite embarrassing.,Ouch! That is the worst_comma_ are they pretty damaged?,3,3,3
472,hit:4241_conv:8483,proud,I am feeling mighty accomplished today. I won my jousting tournement.,My whole life pretty much. It was cool me and my horse were just so in sync today.,That is nice.,1,1,1
473,hit:2521_conv:5042,lonely,My boyfriend left town a couple of days ago and he won't be back for over a week. It is so quiet here and there's nothing to do.,My boyfriend left town a couple days ago and he will not be back for over a week.,what are you gonna do? partyyyyy?,1,1,1
474,hit:11012_conv:22024,grateful,It was a gorgeous morning today_comma_ the sun was shining as I walked my dogs and I'm still on summer holdiays.,Today! Yikes! Not till September 4th up here.,This is the earliest they have ever started here.,3,3,3
477,hit:7377_conv:14754,trusting,My brother has assured me we are going on a trip soon. I am holding him to it,I do trust him_comma_ so yes,thats good.,2,2,3
478,hit:5979_conv:11959,joyful,My son was hit by a car while driving and half of the car was crushed_comma_ but he was virtually unscathed!  I'm so happy!,They were texting while riving around a curvy road. I cannot believe people do not think they will because harm while texting and driving. Yes! I do not care about the car. I am just so thankful he is safe!,That stinks_comma_ but I am glad he is ok! That must be the scariest thing!,3,3,3
479,hit:115_conv:230,hopeful,I just applied for a promotion_comma_ and I should earn at least 10k more.,I hope so! It will help finances a lot.,Yes_comma_ definitely. Do you plan on buying anything new?,3,3,3
481,hit:12306_conv:24613,proud,I finally got my BA. I am so happy to be done with college?,I finally got my BA. I am so happy to be done with college?,School can be al ot of work,1,1,1
482,hit:8609_conv:17219,anticipating,I cannot wait until next summer.  We are taking our daughter on her graduation trip to Florida to see Winter the Dolphin.,I cannot wait until next summer_comma_ we have a big graduation trip planned for our daughter.,That is so exciting!  What torture waiting for a whole year!  Where are you going?,3,3,3
483,hit:9444_conv:18889,jealous,My friend got to meet adam scott. He is one of my favorite actors.,My friend recently got to meet adam scott. He is one of my favorite actors.,Wow_comma_ I bet he was really surprised he got to meet him. What did he think of him in person?,3,3,3
484,hit:761_conv:1522,annoyed,I have appeared for a driving license thrice and still I have not being able to crack it.,Yes_comma_ I am a little uncomfortable driving backwards. I just cannot do that.,Ah! That is quite understandable. It is tricky at first and non-intuitive. I practiced driving in reverse with cones in an abandoned lot.,3,3,3
486,hit:532_conv:1465,afraid,I am worried about failing my exam,I am very stressed I have to take a major final exam on saturday.,That is intense. I hope you do as well as possible!,3,3,3
490,hit:10885_conv:21770,hopeful,i just recently registered for a flag football team_comma_ i just hope I am good and don't embarass myself,I would like to be a wide reciever or a corner_comma_ I am very tall and feel like I can hold my own. Hopefully.,You could certainly bring some physicality to the position with your height. I say go for it!,3,3,3
491,hit:11209_conv:22419,trusting,I met a stranger who offered me a ride to go to work,No I do not usually walk but that day my car was in the shop.,Have you stayed in contact with the person that gave you a lift?,3,3,3
492,hit:6230_conv:12461,lonely,Sometimes I want privacy_comma_ but now that I have it_comma_ I miss my roomies.,Sometimes I want privacy_comma_ but now that I have it_comma_ I miss my roomies.,Oh I understand. But hey_comma_ you dont have to look at or clean up any elses mess anymore right?,3,3,3
493,hit:8830_conv:17661,confident,I'm going on date tonight after work. I think its going to go well.,I am going on date tonight after work. I think its going to go well.,That is awesome. You sound confident.,3,3,3
495,hit:11208_conv:22417,disgusted,I was irritated when I was at the airport and someone cut in line. They only saved themselves about 30 seconds.,Yeah! Haha_comma_ they only saved themselves about 20 seconds.,Haha! It is good you could see the big picture in a stressful situation.,3,3,3
496,hit:1144_conv:2288,anxious,my cousin had a heart cath and the surgeon sent for me to come to the operating room.,oh yes_comma_ thank you for asking. other family members just got a call and told them everything went ok. Kind of scary when I was sent for.,It must have have been. Glad they are okay now.,3,3,3
502,hit:10004_conv:20008,surprised,My little cousin gifted me for my birthday. I was so happy. He spent for me from his savings,Yeah definitely. it was very pleasant one at that. he earned that money while doing chores at home,Nice! Hes a sweet kid. I bet that brought you joy as well.,3,3,3
505,hit:1579_conv:3158,annoyed,I am very annoyed with my mail person. He writes on my mail and never delivers it and lies.,"""He thinks he is the king*. He is very bad. My mailbox is on the outside of my fence but he writes """"dogs"""" on it..will not deliver it and also he throws my packages to wreck them. Post office thinks he is great and will not do anything about it.""",Make him Facebook famous. The Viral terrible mail man. ,2,2,3
506,hit:5261_conv:10523,prepared,I have to bake 10 cakes by tomorrow.  I am ready to do it though.,I have to bake 10 cakes by tomorrow.,Oh WOW!  That is a lot of cakes!!  Will you be able to get it all done?,3,3,3
507,hit:7334_conv:14668,grateful,My sister n law washed my clothes today for me. It was a nice gesture,Yeah it was very sweet,Your brother is a lucky guy!,3,3,3
508,hit:10865_conv:21731,apprehensive,At dinner the other night_comma_ my family ordered three diet cokes.  They all came out a different shade from dark to light.  I was pretty concerned with the quality of the drinks when they were delivered.,We ordered 3 diet cokes with dinner the other night_comma_ and they all came out a different shade of coloring!,Wow that is weird.  I love Diet Coke.  What was wrong with it?,3,3,3
509,hit:11544_conv:23088,trusting,I trust in my brothers_comma_ they very rarely let me down,Exactly_comma_ it is a big deal to always have someone to rely on,Totally! I also have a very trusting family.,3,3,3
512,hit:6794_conv:13589,excited,I'm excited for the plums on my plum tree to ripen,They are_comma_ they are usually very sweet,I am glad they came in for you.,3,3,3
513,hit:327_conv:654,terrified,My husband had meningitis and then got bells palsey. I was very very worried.,Yes_comma_ he is ok now. It was a very anxious time though because for awhile we did not know if it was bacterial or viral. He still has some residual issues from the Bells Palsy_comma_ but it is really only noticeable when he gets tired.,Wow_comma_ thank god he is on the up and up. I cannot imagine how rough that must have been.,3,3,3
514,hit:1173_conv:2347,lonely,Once my wife went with her family to the beach and left me at home by myself.  ,I had to stay home and work.,It is sad that you can not go_comma_ but you are making a good sacrifice to make sure your family will be able to survive. Also you could use the alone time to do stuff you are not able to do with them around!,3,3,3
516,hit:3841_conv:7683,joyful,My brother come home from the war,Yes! I was so happy.  I gave him the biggest hug of his life.,Aw_comma_ I am happy for you. That is an excellent surprise!,3,3,3
518,hit:3459_conv:6919,confident,I felt really self assured when i stepped into my job interview the other day. i was totally prepared as well,I felt really good about myself when i stepped in for my interview last week,That is exactly the way you are supposed to feel. Did you get the job?,3,3,3
519,hit:12017_conv:24034,devastated,I went to the mall with my niece_comma_ suddenly she started to cry_comma_ she lost her purse with her money.,No_comma_ we did not find it_comma_ we even alerted the security at the mall.,I am so sorry to hear that. Hopefully your niece feels better now and has not lost too much.,3,3,3
522,hit:933_conv:1866,devastated,My neighbor's house burn down. We can't find where the cats went.,Last week. The cats are nowhere to be found. We even called the shelter.,I hope the worst did not happen to them_comma_ that is so sad.,3,3,3
523,hit:7353_conv:14707,content,I had a great two weeks with work. I made enough to even get a few things I wanted and to save up! I love it when those things happen.,I had a great two weeks with work,that sounds good.,1,1,1
526,hit:48_conv:96,embarrassed,I ripped my pants on bourbon street the other day. Luckily I was wearing a long shirt.,Yep. My shirt was long enough to cover it. Plus I do not live there lol.,Well im glad you were able to cover up.,3,3,3
527,hit:7355_conv:14711,joyful,I have money saved up_comma_ I am making extra money the past few weeks and there has been no big dramas. It's a good week!,have money saved up_comma_ I am making extra money the past few weeks and there has been no big dramas.,Saving money is so important,1,1,1
529,hit:1577_conv:3154,proud,After all these years as a single mom_comma_ my kid is now a successful researcher. He's pretty happy in life.,After all these years as a single mom_comma_ my kid is now a successful researcher. He is pretty happy in life.,That is got to be a pretty good feeling_comma_ to see our kids succeed and hopefully do better than us. I am happy for you! What does he research?,3,3,3
530,hit:10786_conv:21572,anticipating,I am looking forward to getting a promotion.,Yes_comma_ a couple more levels and it will be easier.,Sweet! Sounds like a good job. How are the bosses?,3,3,3
532,hit:10376_conv:20753,devastated,I once got a terrible score on a test that was important to my final grade in the course,Thanks_comma_ it turned out fine as I am now in college haha,that is great then _comma_ glad it did not affect anything,3,3,3
533,hit:6081_conv:12162,angry,I had a performance review at work where I was surprised by the presence of my least favorite person in the company. The account manager part of my position was effectively dissolved and I was forced to answer phones. ,Sometimes life just gives you lemons. At an old job of mine_comma_ I had what will probably remain the worst performance review of my life.,Well you can get better,2,2,3
534,hit:4033_conv:8067,jealous,My boyfriend pays more attention to his friends than he does me. I am tired of feeling like I have to compete.,He pays more attention to his friends than me.,i hope you find happiness .. doesnt look like its gonna be with him.. goodluck though!,2,2,3
537,hit:10415_conv:20831,confident,I changed out my car's thermostat the other day. After watching a Youtube video on how to do it I felt assured I could do it myself.,Seriously! I would not have never learned this stuff and would of had to spend hundred of dollars at a repair shop!,that is so insane right? glad you did it yourself!,3,3,3
539,hit:11588_conv:23177,confident,I have been taking guitar lessons for almost a year now and will be playing in my first recital. I've got my song down perfectly so I know I'll do great.,oops! sorry about that. I want to tell you that I have been taking guitar lessons for almost a year now and will be playing in my first recital. I have got my song down perfectly so I know I will do great.,No worries! That is so awesome. Are you taking lessons from a musician in a class_comma_ one on one_comma_ or online?,3,3,3
541,hit:3862_conv:7725,anticipating,I'm going to volunteer at a local food bank. I hope I can make a positive difference.,I am going to volunteer at a local food bank. I hope I can make a positive difference.,That is amazing.  I have had to use a food bank before.  I was so gracious.,3,3,3
542,hit:8068_conv:16136,grateful,My neighbor returned my wallet today. I was so thankful.,It was! I was so thankful that he did not steal anything from it.,That is such a relief! It is such a hassle to cancel all of your credit cards and get a new ID! You should give him a reward!,3,3,3
546,hit:494_conv:989,anticipating,I am looking forward to my next vacation ,That is interesting but I usually look for deals so I can go to more places,Yes deals will allow you to travel more for sure.,3,3,3
547,hit:11481_conv:22162,content,I accomplished a great deal of work today.,I accomplished a great deal of work today.,That is good_comma_ it is nice to be proud of the work you have done!,3,3,3
548,hit:1712_conv:3425,trusting,I remember dropping my phone on subway and an old man picked it up and gave it back to me.,So remember I told you_comma_ that I have lost my phone for a moment on a subway?,Yes_comma_ what about it?,1,1,1
550,hit:4651_conv:9302,devastated,I was devestated when my grandmother passed away_comma_ I was not prepared to deal with that,I was devestated when my grandmother passed away_comma_ I was not prepared to deal with that,We never are prepared for something like that.. how long ago was it? ,3,3,3
553,hit:1312_conv:2625,prepared,I did my homework ahead of time. I knew I would not have enough time on the weekends.,I agree. I used to procrastinate a lot but I have learned that it is not a good habit.,Yup_comma_ I used to procrastinate all the time_comma_ but I think I am getting better at doing things ahead of time. And it feels so much better to get trivial things out of the way.,3,3,3
554,hit:9006_conv:18012,sentimental,I keep the ticket stub of my first concert in my wallet.  It reminds me of good times with my friends.,Yeah_comma_ it is a nice little souvenir to remind me of good times. It was a great concert and experience for all of us.,Who did you go see? And are you still friends with all the same people? I wonder if any of them kept their ticket stubs too.,3,3,3
556,hit:11145_conv:22291,ashamed,I spilled red wine on my friend's carpet and just moved the rug to hide it.,I was invited to a friend's party the other night.,Oh that sounds like a blast! Did you go?,3,3,3
557,hit:10924_conv:21848,impressed,When I took my daughter to the skate park she was able to ride up and down a lot of ramps. She was way better than I expected.,Yeah we did. She can ride up and down the ramps much better than I expected her to.,That is awesome. My son has a skateboard but can barely stand up on it.,3,3,3
559,hit:11464_conv:22928,content,I feel very satisfied with life right now. My friends and family are healthy_comma_ and I am doing good in my classes,Thanks! I hope everything continues to go well. There is always some bumps along the road_comma_ but hey_comma_ what can you do about it?,It is all about what you do with those bumps and just pushing through them I think.,3,3,3
560,hit:5540_conv:11081,jealous,my sister just got a new car. Its really nice but I want one too,My sister just got a new car,That is awesome. What kind of car.,1,1,1
565,hit:5695_conv:11391,prepared,For once I didnt forget anything on this camping trip,I kept waiting to remember what I forgot for this camping trip.  But for once it never happened!,uh. maybe its not something that important,2,2,3
570,hit:5891_conv:11782,surprised,For my anniversary at my job_comma_ all my coworkers threw me a party. I had no idea until I walked into the office at lunch.,I had no idea till I walked into the office with my boss on lunch. I was completely shocked.,I am so happy for you! Congrats!,3,3,3
571,hit:4044_conv:8089,surprised,I had a roommate up until about a month ago. He decided to outfit his car to travel across the country and sleep in it. He's been successful thus far.,Believe it or not_comma_ he was well prepared. I consider it a glorified move to California_comma_ but he seems happy!,That is great! I think as long as he is happy_comma_ he is doing whatever is right for him.,3,3,3
576,hit:8189_conv:16379,annoyed,it really annoys me wheen my little brother throws food on the table and eats with his mouth open just to bothern me,i hate when my little brother throws food on the table just to annoy m e,That is a terrible waste of food_comma_ how old is your little brother?,3,3,3
577,hit:12310_conv:24620,disgusted,I saw the grossest thing on the bus the other day. This guy left a sandwich and it was so moldy.,I was on the bus the other day and saw the grossest thing.,what was it?,1,1,1
578,hit:22_conv:45,sad,I felt sad when my dog passed away. It was a pet that I had since I was 3 years old_comma_ and was one of the saddest days of my life.,Have you ever had a pet that you had to put down? I was so heartbroken when my dog of 16 years had to be put down. this was years ago but it still makes me sad to this day.,That is heartbreaking_comma_ it is always helped me to remember that no matter what happens_comma_ you have your memories with them.,3,3,3
579,hit:8748_conv:17496,surprised,I got a lottery ticket while I was at work today. I won $100 on the scratch off. I was shocked. I never win.,I usually go on our Tuesday break to buy one with coworkers.,Neat! Well that is a fantastic feat. Maybe you can win again sometime?,3,3,3
580,hit:5784_conv:11561,sad,My 19 year old cat died recently. I was devastated. I still think about him a lot.,My 19 year old cat died recently. I was devastated.,im sorry to hear that,1,1,1
581,hit:1998_conv:3996,angry,I just witnessed someone steal from an old woman walking across the street. Boils my blood!,I felt so bad for her. She seemed really shook up.,I bet. The world can be so scary! I am glad she was okay,3,3,3
583,hit:4607_conv:9215,proud,Last week_comma_ a guy tried to robbed me. I was able to fight him and make run away. I am so proud about myself.,Yes_comma_ I went to police station but I feel that they are useless most of time.,Ha! I agree. its good that you took matters into your own hands.,3,3,3
584,hit:9432_conv:18865,confident,I was one of the three finalist for a job promotion at my job. I felt very positive about my chances as I had more than double the experience of the other two candidates.,I was one of three finalists for a job promotion where I work. I have more than double the other candidates experience_comma_ so I feel really good about my odds.,that is wonderful! I hope you will get that promotion! What do you do?,3,3,3
585,hit:6833_conv:13667,afraid,I got new neighbors and I don't think they are too nice. I don't want to speak to them,They were really lous and cursing all night and their toddlers were playing inthe street. Im kind of scared of them,Their toddlers were in the street? I feel like that is almost CPS level issues,3,3,3
588,hit:3951_conv:7903,joyful,i was happy when i got promoted a few months back,yea i got an 8% raise.. thank you.. it was a long time coming,It always feel good to get what you deserve!,3,3,3
591,hit:5541_conv:11082,lonely,Before I met my girlfriend and friends_comma_ I was very depressed and alone,Me too_comma_ life has gotten a lot better,I am happy for you,3,3,3
594,hit:4873_conv:9746,excited,I was starting a new job and so thrilled to be doing something different. I'd been at my old job for 6 years.,Thanks! Graphic design mostly. At my old job I was a manager and it was horrible.,Sometimes being a manager is the worst job you can have at a place_comma_ you seem to be the one who gets blamed for everything.,3,3,3
596,hit:7124_conv:14248,disgusted,Every time I meet a girl on Tinder and she starts to like me_comma_ things go bad. She just finds a better looking guy and drops me.,Yeah it sucks_comma_ I just want a girl that is good but is not shallow as hell too.,Did you talked to her after?,1,1,1
597,hit:3455_conv:6910,sad,I felt heartbroken when my dog passed away a couple months back.. I shut myself in my house for weeks after that.,My dog passed away couple months back.. i was heartbroken,im sorry to hear that.. what happened?,3,3,3
598,hit:1792_conv:3585,excited,My father bought me a new luxury car.,I did actually_comma_ it was so giddy seeing how fast it drove!,You are very lucky.,2,2,3
599,hit:3972_conv:7945,confident,I just knew I was going to get this job. I prepared well for it,I knew I was going to get this job. I was prepared for it,I am really glad to hear that! What kind of job is it_comma_ if you do not mind me asking?,3,3,3
600,hit:4841_conv:9682,trusting,I told a secret to my friend. I wanted him to keep it,A fun secret_comma_ but I needed to be sure he could keep it,Have then be able to? May I ask what the secret is? ,3,3,3
601,hit:8433_conv:16867,caring,i loved taking care of my sisters pet,yea all pets are awesome except for snakes and spiders,I do not like spiders so much_comma_ but I do really like snakes.,1,1,1
603,hit:9033_conv:18066,confident,i love the relationship i have with my husband. we have an amazing marriage.,i sure hope so. i am very blessed.,When you appreciate something that much it is sure to continue that way! I have been married 19 years and love almost every minute!,3,3,3
604,hit:7368_conv:14737,lonely,I broke up with my girlfriend this same time last year.,I broke up with my girlfriend this same time last year,That is unfortunate_comma_ made a new one since?,2,2,3
605,hit:9993_conv:19987,anxious,I will be going to New York Next week. I cant wait!,I cant wait for this weekend! Im leaving for New York!,wow _comma_ thats great. You must be loving it,3,3,3
607,hit:88_conv:176,afraid,I think my job will lay us off.,I think our job might be laying us off.,O No! Are they going to offer you any kind of package?,3,3,3
609,hit:1310_conv:2621,furious,I went to traffic court thinking that my ticket would be thrown out but the judge wouldn't give me any lenience. ,I went to traffic court the other day and was promised that I would get off with a warning_comma_ but I ended up with a $300 fine.  I was so mad!,So much for them being up front for you. Man $300 for what thats a lot.,3,3,3
610,hit:10878_conv:21757,trusting,Theres this particular staff of mine that i can rely on_comma_others have disappointed me,sure he is_comma_i can vouch for his intergrity,It is good to have someone so trustworthy. Congratulations.,3,3,3
613,hit:4347_conv:8695,disgusted,My friend put vinegar on his ice cream sundae.  It looked really gross.,It looked and smelled really gross.,that is one of the most horrible things ive ever heard.,1,1,1
614,hit:10848_conv:21697,ashamed,I've left my car door open slightly ajar overnight and now my battery is dead. My wife had to take the other car into work_comma_ I hope she's not upset with me.,I am such a dummy_comma_ I left a door open in my car overnight and now the battery is dead.,This happened to me! Do not feel bad_comma_ it happens to people such as us!,3,3,3
615,hit:10419_conv:20839,annoyed,I was angry at my friend's attitude towards me,They always neglt me,who does and that is mean of them.,1,1,1
616,hit:859_conv:1718,surprised,I've been shocked at how hot this summer has been.,This has been a really hot summer.,Yes it has! Even NY is extremely hot. What state are you in? ,3,3,3
617,hit:5495_conv:10991,devastated,MY sister is once again not paying her part of the phone bill.,Well I should have known not to get her a line on my phone plan. She is not paying her part again,Ouch!  That has got to hurt!  Are you really mad?,3,3,3
620,hit:1306_conv:2612,devastated,My car was broken into.,My car was broken into last night. I lost my laptop_comma_ loose change I had in the cupholders_comma_ my GPS_comma_ and they yanked my radio set out.,Did you call the police?,1,1,1
622,hit:6810_conv:13621,guilty,I am doing work instead of playing with my dog.  I'm paying a little attention to him but I have a goal I want to get to before I pay more attention to him.,I am_comma_ I would think I will be done pretty soon and then take him for a nice long walk.,I am sure he will love that. I bet you will see the joy just shining in his eyes.,3,3,3
623,hit:10126_conv:20253,anxious,I have to go into get my tooth pulled soon. I don't do well at the dentist.,I have to go get my tooth pulled soon. I hate the dentist,What is wrong with your tooth? I hope it is not too painful of an experience.,3,3,3
627,hit:2629_conv:5258,guilty,I drank a bit too much the other night and destroyed some things in my friend's apartment.,I drank a bit too much the other night and accidentally destroyed some things.,That sucks_comma_ hopefully nothing you cannot replace. I would suggest getting some help if your drinking has become distructive.,3,3,3
629,hit:9344_conv:18649,impressed,I watched a man eat a 5 pound ham. I was very inspired by his act.,No_comma_ he did not. I was very inspired by the act.,Thats a real eater right there_comma_ big belly.,2,2,3
631,hit:11418_conv:22836,trusting,A few weeks ago_comma_ my infant son was very sick and he had to go to the hospital. I was nervous about what the doctor would have to say but I had my faith that he would help my son get better. I knew that he would do what he thought was right -- and my son did get better!,My son was very sick a few weeks ago_comma_ enough that he had to go to the hospital! I was nervous about what the doctor would have to say but had faith that he would help my son get better. ,I hope everything is fine_comma_ How did it turn out?,3,3,3
635,hit:4850_conv:9701,grateful,I am happy to have an old friend that understands me.,I am happy to have an old friend that understands me.,That is great for you!,3,3,3
638,hit:8104_conv:16209,apprehensive,I am feeling a bit of trepidation about today actually. My partner was being a bit rude and he can explode easy_comma_ so it's hard,Yes_comma_ My partner was being a bit rude and he can explode easy_comma_ so it is hard.,My first marriage was much like that_comma_ I hope you have a very calm day and no arguing.,3,3,3
640,hit:10133_conv:20267,content,My husband and I recently got married. This is our second marriage each and it's nice that we are both at a place in our lives where we are happy with things just the way they are.,I recently got married and I am so lucky to have found someone who enjoys doing the same things that I do.,Congrats! It is nice to find someone with things in common. Shared interests can be fun.,3,3,3
641,hit:3977_conv:7954,content,having a nice meal,"It was good! It always is. I had my ""usual"" pasta and just enough wine to feel relaxed_comma_ but not loopy. It was a good way to end a Sunday.",That is great. Sundays are supposed to be breezy,3,3,3
642,hit:6789_conv:13579,anxious,I'm going on a flight next week and I haven't been on a plane before. It makes me quite nervous and scared,I am going on a flight next week and I have not been on a plane before,Well_comma_ I am sure you are super nervous! Of course_comma_ I have no doubt all will be well and a new experience for you!,3,3,3
645,hit:9475_conv:18950,devastated,I put a deposit down on a dog_comma_ but it died before I could pick it up.  I was so sad.,It got distemper and could not shake it. I will buy another one some day. I think I need a little time though.,I had never heard of that before. That sounds like tragic timing. And you are right_comma_ I probably should not have brought up getting another one so soon_comma_ it just sounded like you would be a good owner_comma_ since you seem like you care so much. It makes sense for you to not rush right back into it.,3,3,3
648,hit:870_conv:1740,trusting,I have the best best friend in the world. She is like family.,I trust her with my life and my kids'. I know she feels the same.,I wish I had that kind of relationship. I left most of that when I moved :(,3,3,3
649,hit:6017_conv:12035,caring,I just started taking my younger kids to an elderly assisted living home to try to brighten people's day. I think its important to show kindness to others and teach my kids that.,They really enjoy going there and the people absolutely light up when the kids come up to talk to them. So many of them have no family coming to visit. I think it also helps kids not be afraid of older people who might have oxygen on or something.,I remember being scared the first time I went to visit my great grandmother in a nursing home. But once you see that they are just people it makes everything alright,3,3,3
650,hit:4169_conv:8338,proud,I am proud of my girlfriend for getting a full time job_comma_ I am sur she will do great!,I am proud of my girlfriend for getting a full time job_comma_ I am sur she will do great!,Thats awesome i bet she will too! when does she start?,3,3,3
651,hit:4486_conv:8972,excited,I was so thrilled to get concert tickets for a surprise show. It will be so fun!,I am so thrilled that I scored some concert tickets to a surprise performance. ,That so cool! For what band?,3,3,3
653,hit:10410_conv:20820,terrified,I heard some noises outside the house. I thought someone was trying to break in.,It turned out to be nothing_comma_ but it was really stressful.,i can imagine_comma_ it happend to me before and it was actually someone trying to break in_comma_ i called hte police and they ran off,3,3,3
654,hit:9171_conv:18342,nostalgic,When I hear Maroon 5 songs I remember my high school dances,You are absolutely right...but these days it is not such a problem haha,I am sure you two will be having babies in no time if you hit her up right this instant!,3,3,3
658,hit:8775_conv:17551,proud,My wife graduated from a masters program over the summer. She worked incredibly hard at it for and it paid off!,Her degree is in forensic chemistry. She already landed a job right after graduating too_comma_ we are both ecstatic.,Wow_comma_ that is fantastic_comma_ good for you guys!,3,3,3
660,hit:3899_conv:7799,anxious,I sent an email I shouldn't have sent_comma_ and for about a week I obsessed over it. Thankfully nothing came of it and all that worrying was for nothing.,True. The funny thing was I obsessed over it for days_comma_ worrying I made a mistake. And absolutely nothing happened! I worried for nothing.,Thats usually how it goes,1,1,1
661,hit:4550_conv:9100,content,I really wanted to get an A in this computer science class that I took. Instead I got a B but that's good enough for me.,I really wanted to get an A in this computer science class but hey I got a B so that is fine.,That Is awesome. B is great and you will smash it next time.,3,3,3
664,hit:8884_conv:17768,faithful,I was invited to church this last weekend. I went and felt very optimistic in the church.,It was good_comma_ there were many people singing and stuff like that!,Did you put any money in the collection pot?,2,2,3
668,hit:8314_conv:16629,content,I'm pretty good right now in life_comma_ couldn't ask for anything more. I'm very low maintenance.,I am pretty good right now in life_comma_ could not ask for anything more. I am very low maintenance.,Fantastic! Being grateful is the way to be happy!,3,3,3
669,hit:4550_conv:9100,content,I really wanted to get an A in this computer science class that I took. Instead I got a B but that's good enough for me.,I hope so_comma_ I just really need to learn how to get better at it since it is my major.,I guess to keep on trying and do not be so hard on yourself_comma_ a B grade is good enough too.,3,3,3
671,hit:10279_conv:20558,joyful,in 2 weeks time i will go on a holiday to see my wife ,no we live in a long distance relationship (not for long though) so it is hard for me to see her_comma_ but i will be able to see her after 6 months apart,Awesome to hear that you will get to live with your loved one soon,3,3,3
675,hit:618_conv:1237,jealous,I can't believe my brother is dating a super model. She should be dating me instead_comma_ I'm much more interesting!,He is dating Kylie Jenner. Have you heard of her?,Yeah I have lol. What is your brothers name?,2,2,3
678,hit:3599_conv:7199,annoyed,I hate it when my internet cuts off and starts slowing down. It bugs me out so much_comma_ maybe it's time to upgrade ISP.,I hate it when my internet cuts off and starts slowing down. It bugs me out so much_comma_ maybe it is time to upgrade ISP.,Ugh_comma_ I am with you on that. Mine has been doing that all week. It is so annoying and it costs even more to switch to someone else,3,3,3
681,hit:4337_conv:8674,annoyed,My dog always barks when I am on the phone.,My dog always barks when I am on the phone.,That is irritating_comma_ huh. It is like a kid that cannot stand not having the attention for a minute so they act up. Haha,3,3,3
683,hit:4664_conv:9328,lonely,I was feeling alone in the city of Miami after i moved there. it was my first time staying away from family,I was feeling so lonely in miami after i moved there,Sorry to hear that.  Have you since been able to overcome your loneliness?,3,3,3
685,hit:3549_conv:7098,sad,It was a surprise to me when I found that my grandmother had passed away,My grandmother passed without any warning to us,I am sorry to hear that_comma_ I lost my grandmother to cancer_comma_ which did not make it anny better_comma_ knowing it was coming,3,3,3
686,hit:11176_conv:22352,faithful,I was out shopping and a very attractive man was giving me a lot of attention. I am married and I am happy to say that I remained faithful to my husband.,Well I learned that I can say no to temptation and feel great about my decision.,Wow that is pretty fundamental to your personality_comma_ and a great thing to discover. I imagine the knowledge will help you throughout life.,3,3,3
689,hit:10216_conv:20433,caring,When my friend told me she was unable to have kids_comma_ I wanted her to know I was there for her. It must have been such a hard thing to go through_comma_ I could not imagine my life without my beautiful little boys.,My friend recently told me that she could not have kids_comma_ I tried my hardest to be there for her,Wow that would be terrible news. I cannot imaged shit is taking it well.,3,3,3
692,hit:1714_conv:3429,caring,I am the caretaker of my grandmother.,What things we have in common!,Yea_comma_ I feel that it is worth every second of it! They are the reasons we exist,3,3,3
694,hit:9586_conv:19173,disappointed,My best friend didn't invite me on a road trip last weekend. They went to a nice beach and I have no idea why he didn't call me.,No yet_comma_ I do not really know what to say to him. I feel pretty down about it.,"""I would ask him how it went and casually say """"I would have gone had you asked"""".""",2,2,3
695,hit:12373_conv:24746,caring,My boyfriend took me to a cat cafe today because he knows I like cats,My boyfriend took me to a cat cafe today because he knows I like cats,That sounds like a cool place to go! Can you bring your cat there?,3,3,3
696,hit:1386_conv:2772,surprised,I felt this morning I left the house and my neighbor gave me some flowers ... incredible I did not expect it,It was a nice gesture on his part. But I do not know,Huh_comma_ well maybe he is starting his campaign lol,2,2,3
